job_title,work_year,employment_type,company_location,experience_level,salary_in_usd
Data Engineer,2023,FT,US,EX,220000
Data Engineer,2023,FT,US,EX,205000
Head of Data,2023,FT,US,EX,329500
Head of Data,2023,FT,US,EX,269600
Data Engineer,2023,FT,US,EX,145000
Data Engineer,2023,FT,US,EX,115000
Data Engineer,2023,FT,US,EX,175000
Data Engineer,2023,FT,US,EX,110000
Analytics Engineer,2023,FT,US,EX,221000
Analytics Engineer,2023,FT,US,EX,153000
Data Scientist,2023,FT,US,EX,200000
Data Scientist,2023,FT,US,EX,145000
Data Architect,2023,FT,US,EX,180000
Data Architect,2023,FT,US,EX,155000
Data Engineer,2023,FT,US,EX,286000
Data Engineer,2023,FT,US,EX,207000
Director of Data Science,2023,FT,US,EX,353200
Director of Data Science,2023,FT,US,EX,249300
Data Scientist,2023,FT,US,EX,145000
Data Scientist,2023,FT,US,EX,100000
Data Engineer,2023,FT,US,EX,265000
Data Engineer,2023,FT,US,EX,235000
Data Engineer,2023,FT,US,EX,194500
Data Engineer,2023,FT,US,EX,115500
Data Scientist,2023,FT,US,EX,200000
Data Scientist,2023,FT,US,EX,145000
Data Engineer,2023,FT,US,EX,210914
Data Engineer,2023,FT,US,EX,116704
Data Engineer,2023,FT,US,EX,167500
Data Engineer,2023,FT,US,EX,106500
Data Engineer,2023,FT,US,EX,310000
Data Engineer,2023,FT,US,EX,239000
Data Engineer,2023,FT,US,EX,310000
Data Engineer,2023,FT,US,EX,239000
Head of Data Science,2023,FT,GB,EX,160288
Head of Data Science,2023,FT,GB,EX,127467
Data Engineer,2023,FT,US,EX,310000
Data Engineer,2023,FT,US,EX,239000
Data Engineer,2023,FT,US,EX,235000
Data Engineer,2023,FT,US,EX,210000
Data Engineer,2023,FT,US,EX,210914
Data Engineer,2023,FT,US,EX,116704
Data Engineer,2023,FT,US,EX,284000
Data Engineer,2023,FT,US,EX,236000
Data Analytics Manager,2023,FT,US,EX,155000
Data Analytics Manager,2023,FT,US,EX,140000
Data Engineer,2023,FT,US,EX,175000
Data Engineer,2023,FT,US,EX,110000
Head of Data Science,2023,FT,US,EX,314100
Head of Data Science,2023,FT,US,EX,195800
Data Engineer,2023,FT,US,EX,200000
Data Engineer,2023,FT,US,EX,145000
Data Engineer,2023,FT,US,EX,310000
Data Engineer,2023,FT,US,EX,239000
Data Scientist,2023,FT,US,EX,300000
Data Scientist,2023,FT,US,EX,200000
Data Engineer,2023,FT,US,EX,196200
Data Engineer,2023,FT,US,EX,150900
ML Engineer,2023,CT,US,MI,30000
ML Engineer,2023,CT,US,MI,25500
Data Analyst,2023,FT,US,MI,150000
Data Analyst,2023,FT,US,MI,110000
Data Engineer,2023,FT,US,MI,162500
Data Engineer,2023,FT,US,MI,130000
Data Analyst,2023,FT,US,MI,105380
Data Analyst,2023,FT,US,MI,64500
Data Scientist,2023,FT,HK,MI,65062
Applied Machine Learning Engineer,2023,FT,DE,MI,69751
Machine Learning Engineer,2023,FT,NL,MI,96578
Data Analytics Manager,2023,FT,US,MI,155000
Data Analytics Manager,2023,FT,US,MI,140000
Data Engineer,2023,FT,US,MI,100000
Data Engineer,2023,FT,US,MI,70000
Data Engineer,2023,FT,US,MI,100000
Data Engineer,2023,FT,US,MI,70000
Business Data Analyst,2023,FT,US,MI,105000
Applied Data Scientist,2023,FT,IN,MI,20670
Data Analyst,2023,FT,GB,MI,46178
Data Analyst,2023,FT,GB,MI,42533
Data Engineer,2023,FT,US,MI,162500
Data Engineer,2023,FT,US,MI,130000
Data Scientist,2023,FT,GB,MI,66837
Data Scientist,2023,FT,GB,MI,54685
ETL Engineer,2023,FT,GB,MI,85066
ETL Engineer,2023,FT,GB,MI,57723
Machine Learning Engineer,2023,FT,US,MI,300000
Machine Learning Engineer,2023,FT,US,MI,250000
Research Engineer,2023,FT,US,MI,230000
Research Engineer,2023,FT,US,MI,200000
Data Engineer,2023,FT,US,MI,180000
Data Engineer,2023,FT,US,MI,130000
AI Developer,2023,FT,FI,MI,75020
AI Developer,2023,FT,US,MI,200000
Machine Learning Engineer,2023,FT,US,MI,280700
Machine Learning Engineer,2023,FT,US,MI,150450
Data Scientist,2023,FT,US,MI,93918
Data Scientist,2023,FT,US,MI,51962
Big Data Engineer,2023,FT,ES,MI,48289
Data Analyst,2023,FT,US,MI,90000
Data Analyst,2023,FT,US,MI,75000
Research Scientist,2023,FT,GB,MI,195895
Research Scientist,2023,FT,GB,MI,102772
Data Specialist,2023,FT,US,MI,130000
Data Specialist,2023,FT,US,MI,80000
Data Scientist,2023,FT,US,MI,180000
Data Scientist,2023,FT,US,MI,140000
Lead Data Analyst,2023,FT,US,MI,68000
Data Engineer,2023,FT,US,MI,125000
Data Engineer,2023,FT,US,MI,90000
Data Manager,2023,FT,US,MI,135000
Data Manager,2023,FT,US,MI,120000
Data Analyst,2023,FT,US,MI,182500
Data Analyst,2023,FT,US,MI,121500
Data Analyst,2023,FT,GB,MI,72914
Data Analyst,2023,FT,US,MI,121500
Data Analyst,2023,FT,GB,MI,72914
Data Analyst,2023,FT,GB,MI,54685
Data Architect,2023,FT,US,MI,167500
Data Architect,2023,FT,US,MI,106500
Data Engineer,2023,FT,US,MI,146000
Data Engineer,2023,FT,US,MI,75000
Machine Learning Scientist,2023,FT,US,MI,230000
Machine Learning Scientist,2023,FT,US,MI,220000
Research Scientist,2023,FT,US,MI,210000
Research Scientist,2023,FT,US,MI,151800
MLOps Engineer,2023,FT,US,MI,135000
MLOps Engineer,2023,FT,US,MI,104000
MLOps Engineer,2023,FT,US,MI,134000
MLOps Engineer,2023,FT,US,MI,124000
Data Architect,2023,FT,US,MI,167500
Data Architect,2023,FT,US,MI,106500
Machine Learning Engineer,2023,FT,US,MI,135000
Data Engineer,2023,FT,US,MI,143865
Data Engineer,2023,FT,US,MI,115092
Machine Learning Engineer,2023,FT,US,MI,130000
Machine Learning Engineer,2023,FT,US,MI,90000
Data Engineer,2023,FT,US,MI,149600
Data Engineer,2023,FT,US,MI,102000
Data Scientist,2023,FT,IE,MI,96578
Data Scientist,2023,FT,IE,MI,80481
Data Analyst,2023,FT,US,MI,128000
Data Analyst,2023,FT,US,MI,85000
Data Engineer,2023,FT,US,MI,151000
Data Engineer,2023,FT,US,MI,140000
Data Analyst,2023,FT,US,MI,154000
Data Analyst,2023,FT,US,MI,143000
Data Scientist,2023,FT,GB,MI,78990
Data Scientist,2023,FT,GB,MI,51039
Data Scientist,2023,FT,GB,MI,85066
Data Scientist,2023,FT,GB,MI,51039
Data Scientist,2023,FT,GB,MI,109371
Data Scientist,2023,FT,GB,MI,72914
Data Engineer,2023,FT,US,MI,75000
Data Engineer,2023,FT,US,MI,60400
Data Scientist,2023,FT,DE,MI,60093
Data Analyst,2023,FT,US,MI,83500
Data Analyst,2023,FT,US,MI,52500
Data Engineer,2023,FT,US,MI,90000
Data Engineer,2023,FT,US,MI,90000
Data Engineer,2023,FT,US,MI,145000
Data Engineer,2023,FT,US,MI,120000
Data Analyst,2023,FT,US,MI,206000
Data Analyst,2023,FT,US,MI,130000
Data Analyst,2023,FT,US,MI,160000
Data Analyst,2023,FT,US,MI,112000
Data Engineer,2023,FT,US,MI,162500
Data Engineer,2023,FT,US,MI,130000
Data Scientist,2023,FT,US,MI,145000
Data Scientist,2023,FT,US,MI,100000
Data Scientist,2023,FT,US,MI,145000
Data Scientist,2023,FT,US,MI,100000
Data Analyst,2023,FT,US,MI,100000
Data Analyst,2023,FT,US,MI,85000
Data Engineer,2023,FT,GB,MI,85066
Data Engineer,2023,FT,GB,MI,57723
Data Engineer,2023,FT,US,MI,140000
Data Engineer,2023,FT,US,MI,95000
Financial Data Analyst,2023,FT,US,MI,130000
Data Analyst,2023,FT,US,MI,75000
Data Analyst,2023,FT,US,MI,65000
ML Engineer,2023,FT,US,MI,160000
ML Engineer,2023,FT,US,MI,147000
Software Data Engineer,2023,FT,SG,MI,75020
Data Scientist,2023,FT,IN,MI,17022
Lead Data Analyst,2023,FT,IN,MI,18238
Machine Learning Engineer,2023,FT,US,MI,250000
Machine Learning Engineer,2023,FT,US,MI,150000
Analytics Engineer,2023,FT,US,MI,185700
Analytics Engineer,2023,FT,US,MI,165000
Data Scientist,2023,FT,ES,MI,59020
Data Scientist,2023,FT,ES,MI,48289
Data Engineer,2023,FT,SI,MI,75116
Data Engineer,2023,FT,SI,MI,48289
Data Scientist,2023,FT,US,MI,128750
Data Scientist,2023,FT,US,MI,106250
Data Analytics Manager,2023,FT,US,MI,155000
Data Analytics Manager,2023,FT,US,MI,140000
Data Analyst,2023,FT,CA,MI,130000
Data Analyst,2023,FT,CA,MI,100000
Data Science Manager,2023,FT,US,MI,104500
Data Science Manager,2023,FT,US,MI,70000
Data Science Consultant,2023,FT,US,MI,90000
Data Science Consultant,2023,FT,US,MI,70000
Research Scientist,2023,FT,US,MI,185000
Research Scientist,2023,FT,US,MI,125000
Data Scientist,2023,FT,US,MI,200000
Data Scientist,2023,FT,US,MI,150000
Data Engineer,2023,FT,MX,MI,72000
Data Engineer,2023,FT,MX,MI,60000
Data Engineer,2023,FT,US,MI,260000
Data Engineer,2023,FT,US,MI,175000
Research Scientist,2023,FT,US,MI,340000
Research Scientist,2023,FT,US,MI,150000
Data Engineer,2023,FT,US,MI,250000
Data Engineer,2023,FT,US,MI,175000
Data Scientist,2023,FT,FR,MI,64385
Data Engineer,2023,FT,US,MI,146000
Data Engineer,2023,FT,US,MI,75000
Data Engineer,2023,FT,US,MI,149600
Data Engineer,2023,FT,US,MI,102000
Data Analyst,2023,FT,GB,MI,97218
Data Analyst,2023,FT,GB,MI,48609
Data Engineer,2023,FT,US,MI,145000
Data Engineer,2023,FT,US,MI,125000
Data Scientist,2023,FT,US,MI,150000
Data Scientist,2023,FT,US,MI,97750
Data Scientist,2023,FT,US,MI,116990
Data Scientist,2023,FT,US,MI,82920
Machine Learning Scientist,2023,FT,US,MI,200000
Machine Learning Scientist,2023,FT,US,MI,125000
Machine Learning Infrastructure Engineer,2023,FT,US,MI,205920
Machine Learning Infrastructure Engineer,2023,FT,US,MI,171600
Data Engineer,2023,FT,US,MI,154000
Data Engineer,2023,FT,US,MI,116000
Data Analyst,2023,FT,GB,MI,78990
Data Analyst,2023,FT,GB,MI,43809
Data Engineer,2023,FT,US,MI,200000
Data Engineer,2023,FT,US,MI,120000
Data Engineer,2023,FT,GB,MI,127599
Data Engineer,2023,FT,GB,MI,103294
Data Analytics Manager,2023,FT,US,MI,155000
Data Analytics Manager,2023,FT,US,MI,140000
Research Scientist,2023,FT,US,MI,185000
Research Scientist,2023,FT,US,MI,125000
Machine Learning Engineer,2023,FT,US,MI,200000
Machine Learning Engineer,2023,FT,US,MI,175000
Data Scientist,2023,FT,FR,MI,40000
Data Engineer,2023,FT,US,MI,140000
Data Engineer,2023,FT,US,MI,100000
Insight Analyst,2023,FT,GB,MI,51039
Insight Analyst,2023,FT,GB,MI,42533
Applied Machine Learning Engineer,2023,FT,US,MI,130000
AI Scientist,2023,FT,ES,MI,38631
Deep Learning Engineer,2023,FT,US,MI,150000
Deep Learning Engineer,2023,FT,US,MI,100000
Data Engineer,2023,FT,GB,MI,115447
Data Infrastructure Engineer,2023,FT,US,MI,190000
Data Infrastructure Engineer,2023,FT,US,MI,160000
Data Infrastructure Engineer,2023,FT,US,MI,190000
Data Infrastructure Engineer,2023,FT,US,MI,183310
Machine Learning Engineer,2023,FT,US,MI,148500
Machine Learning Engineer,2023,FT,US,MI,126277
Data Analyst,2023,FT,US,MI,80000
Data Analyst,2023,FT,US,MI,60000
Data Engineer,2023,FT,US,MI,140000
Data Engineer,2023,FT,US,MI,120000
Data Analyst,2023,FT,HR,MI,109371
Data Analyst,2023,FT,HR,MI,72914
Data Engineer,2023,FT,US,MI,125000
Data Engineer,2023,FT,US,MI,90000
Data Engineer,2023,FT,US,MI,120000
Data Engineer,2023,FT,US,MI,90000
Data Science Lead,2023,FT,GB,MI,72914
Data Science Lead,2023,FT,GB,MI,60761
Machine Learning Engineer,2023,FT,GB,MI,48609
Data Analyst,2023,FT,US,MI,165000
Data Analyst,2023,FT,US,MI,124000
Data Scientist,2023,FT,US,MI,170000
Data Scientist,2023,FT,US,MI,120000
Product Data Analyst,2023,FT,IN,MI,16414
Data Analyst,2023,FT,US,MI,125000
Data Analyst,2023,FT,US,MI,105000
Data Analyst,2023,FT,GB,MI,109371
Data Analyst,2023,FT,GB,MI,85066
Data Analyst,2023,FT,US,MI,110000
Data Analyst,2023,FT,US,MI,95000
Machine Learning Engineer,2023,FT,MX,MI,36000
Machine Learning Engineer,2023,FT,GB,MI,121523
Machine Learning Engineer,2023,FT,GB,MI,97218
Machine Learning Engineer,2023,FT,GB,MI,145828
Machine Learning Engineer,2023,FT,GB,MI,121523
Data Engineer,2023,FT,GB,MI,66837
Data Engineer,2023,FT,GB,MI,63192
Data Analyst,2023,FT,GB,MI,60761
Data Analyst,2023,FT,GB,MI,54685
Data Scientist,2023,FT,US,MI,151410
Data Scientist,2023,FT,US,MI,115360
Data Engineer,2023,FT,ES,MI,66531
Data Engineer,2023,FT,ES,MI,59020
Research Scientist,2023,FT,US,MI,85000
Research Scientist,2023,FT,US,MI,70000
Data Engineer,2023,FT,US,MI,162500
Data Engineer,2023,FT,US,MI,130000
Machine Learning Engineer,2023,FT,US,MI,110000
Data Analyst,2023,FT,US,MI,130000
Data Analyst,2023,FT,US,MI,100000
Data Analyst,2023,FT,US,MI,150000
Data Analyst,2023,FT,US,MI,100000
Machine Learning Engineer,2023,FT,US,MI,180000
Machine Learning Engineer,2023,FT,US,MI,150000
Data Analyst,2023,FT,US,MI,103200
Data Analyst,2023,FT,US,MI,61200
Head of Data Science,2023,FT,IN,MI,60795
Data Science Manager,2023,FT,US,MI,220000
Data Science Manager,2023,FT,US,MI,195000
Data Analyst,2023,FT,US,MI,206000
Data Analyst,2023,FT,US,MI,160000
Data Analyst,2023,FT,US,MI,109000
Data Analyst,2023,FT,US,MI,79000
Machine Learning Engineer,2023,FT,AM,MI,50000
Data Engineer,2023,FT,US,MI,120000
Data Engineer,2023,FT,US,MI,95000
Data Engineer,2023,FT,US,MI,250000
Data Engineer,2023,FT,US,MI,175000
Data Analyst,2023,FT,US,MI,80000
Data Analyst,2023,FT,US,MI,52500
Data Analyst,2023,FT,US,MI,90000
Data Analyst,2023,FT,US,MI,80000
Data Analyst,2023,FT,US,MI,150000
Data Analyst,2023,FT,US,MI,100000
Data Engineer,2023,FT,US,MI,150000
Data Engineer,2023,FT,US,MI,130000
Applied Data Scientist,2023,FT,KE,MI,80000
Data Analytics Lead,2023,FT,SG,MI,17509
Data Scientist,2023,FT,RO,MI,53654
Data Engineer,2023,FT,US,MI,120000
Data Engineer,2023,FT,US,MI,95000
Data Analyst,2023,FT,US,MI,120000
Data Analyst,2023,FT,US,MI,100000
Data Scientist,2023,FT,US,MI,183310
Data Scientist,2023,FT,US,MI,183310
Data Scientist,2023,FT,TH,MI,24740
Data Analyst,2023,FT,US,MI,135000
Data Analyst,2023,FT,US,MI,105500
Data Analyst,2023,FT,GB,MI,78990
Data Analyst,2023,FT,GB,MI,43809
Data Engineer,2023,FT,US,MI,120000
Data Engineer,2023,FT,US,MI,95000
Machine Learning Engineer,2023,FT,US,MI,145000
Machine Learning Engineer,2023,FT,US,MI,87000
Data Engineer,2023,FT,ES,MI,95000
Data Engineer,2023,FT,ES,MI,80000
Data Analyst,2023,FT,US,MI,116000
Data Analyst,2023,FT,US,MI,72000
Data Engineer,2023,FT,US,MI,105000
Data Engineer,2023,FT,US,MI,70000
Data Analyst,2023,FT,US,MI,120000
Data Analyst,2023,FT,US,MI,80000
Machine Learning Engineer,2023,FT,US,MI,219000
Data Analyst,2023,FT,US,MI,150000
Data Analyst,2023,FT,US,MI,100000
Machine Learning Engineer,2023,FT,US,MI,175000
Machine Learning Engineer,2023,FT,US,MI,140000
Data Scientist,2023,FT,US,MI,187500
Data Scientist,2023,FT,US,MI,165000
Machine Learning Research Engineer,2023,FT,GB,MI,72914
Machine Learning Engineer,2023,FT,GB,MI,109006
Machine Learning Engineer,2023,FT,GB,MI,67141
Research Engineer,2023,FT,US,MI,120000
Research Engineer,2023,FT,US,MI,100000
Data Engineer,2023,FT,US,MI,120000
Data Engineer,2023,FT,US,MI,100000
Data Scientist,2023,FT,US,MI,120000
Data Scientist,2023,FT,US,MI,105000
Machine Learning Engineer,2023,FT,GB,MI,75344
Machine Learning Engineer,2023,FT,GB,MI,63192
Machine Learning Engineer,2023,FT,GB,MI,58331
Machine Learning Engineer,2023,FT,GB,MI,46178
Data Analyst,2023,FT,US,MI,150000
Data Analyst,2023,FT,US,MI,100000
Data Scientist,2023,FT,US,MI,130000
Data Scientist,2023,FT,US,MI,90000
Principal Data Scientist,2023,FT,ES,SE,85847
Data Scientist,2023,FT,CA,SE,175000
Data Scientist,2023,FT,CA,SE,120000
Applied Scientist,2023,FT,US,SE,222200
Applied Scientist,2023,FT,US,SE,136000
Data Scientist,2023,FT,CA,SE,219000
Data Scientist,2023,FT,CA,SE,141000
Data Scientist,2023,FT,US,SE,147100
Data Scientist,2023,FT,US,SE,90700
Data Analyst,2023,FT,US,SE,130000
Data Analyst,2023,FT,US,SE,100000
Data Modeler,2023,FT,US,SE,147100
Data Modeler,2023,FT,US,SE,90700
Data Scientist,2023,FT,US,SE,170000
Data Scientist,2023,FT,US,SE,150000
Research Engineer,2023,FT,DE,SE,275000
Research Engineer,2023,FT,DE,SE,174000
Analytics Engineer,2023,FT,GB,SE,230000
Analytics Engineer,2023,FT,GB,SE,143200
Business Intelligence Engineer,2023,FT,US,SE,225000
Business Intelligence Engineer,2023,FT,US,SE,156400
Machine Learning Engineer,2023,FT,US,SE,200000
Machine Learning Engineer,2023,FT,US,SE,130000
Data Strategist,2023,FT,CA,SE,90000
Data Strategist,2023,FT,CA,SE,72000
Data Engineer,2023,FT,US,SE,253200
Data Engineer,2023,FT,US,SE,90700
Computer Vision Engineer,2023,FT,US,SE,342810
Computer Vision Engineer,2023,FT,US,SE,184590
Data Engineer,2023,FT,US,SE,270703
Data Engineer,2023,FT,US,SE,221484
Data Scientist,2023,FT,US,SE,212750
Data Scientist,2023,FT,US,SE,185000
Data Scientist,2023,FT,US,SE,262000
Data Scientist,2023,FT,US,SE,245000
Data Scientist,2023,FT,US,SE,275300
Data Scientist,2023,FT,US,SE,183500
Data Scientist,2023,FT,US,SE,218500
Data Scientist,2023,FT,US,SE,199098
Data Engineer,2023,FT,US,SE,203300
Data Engineer,2023,FT,US,SE,123600
Research Engineer,2023,FT,US,SE,189110
Research Engineer,2023,FT,US,SE,139000
Data Engineer,2023,FT,US,SE,231500
Data Engineer,2023,FT,US,SE,166000
Data Scientist,2023,FT,US,SE,172500
Data Scientist,2023,FT,US,SE,110500
Data Engineer,2023,FT,US,SE,238000
Data Engineer,2023,FT,US,SE,176000
Data Engineer,2023,FT,US,SE,237000
Data Engineer,2023,FT,US,SE,201450
Applied Scientist,2023,FT,US,SE,309400
Applied Scientist,2023,FT,US,SE,159100
Data Engineer,2023,FT,US,SE,115000
Data Engineer,2023,FT,US,SE,81500
Data Scientist,2023,FT,US,SE,237000
Data Scientist,2023,FT,US,SE,201450
Computer Vision Engineer,2023,FT,US,SE,280000
Computer Vision Engineer,2023,FT,US,SE,210000
Data Architect,2023,FT,US,SE,280100
Data Architect,2023,FT,US,SE,168100
Data Engineer,2023,FT,US,SE,193500
Data Engineer,2023,FT,US,SE,139000
Machine Learning Engineer,2023,FT,US,SE,150000
Business Intelligence Engineer,2023,FT,US,SE,185900
Business Intelligence Engineer,2023,FT,US,SE,129300
Data Engineer,2023,FT,US,SE,225000
Data Engineer,2023,FT,US,SE,175000
Data Engineer,2023,FT,US,SE,185000
Data Engineer,2023,FT,US,SE,140000
Data Scientist,2023,FT,ES,SE,48289
Data Scientist,2023,FT,ES,SE,38631
Data Scientist,2023,FT,US,SE,105000
Data Scientist,2023,FT,US,SE,70000
Data Engineer,2023,FT,US,SE,217000
Data Engineer,2023,FT,US,SE,185000
Data Analyst,2023,FT,US,SE,202800
Data Analyst,2023,FT,US,SE,104300
Data Analyst,2023,FT,US,SE,145000
Data Analyst,2023,FT,US,SE,65000
Data Engineer,2023,FT,US,SE,165000
Data Engineer,2023,FT,US,SE,132300
Data Engineer,2023,FT,US,SE,179170
Data Engineer,2023,FT,US,SE,94300
Analytics Engineer,2023,FT,US,SE,152500
Analytics Engineer,2023,FT,US,SE,116450
Data Engineer,2023,FT,US,SE,247300
Data Engineer,2023,FT,US,SE,133800
Research Engineer,2023,FT,US,SE,203000
Research Engineer,2023,FT,US,SE,133000
Data Scientist,2023,FT,US,SE,150000
Data Scientist,2023,FT,US,SE,120000
Analytics Engineer,2023,FT,US,SE,289800
Analytics Engineer,2023,FT,US,SE,214000
Analytics Engineer,2023,FT,US,SE,179820
Analytics Engineer,2023,FT,US,SE,143860
Machine Learning Engineer,2023,FT,US,SE,283200
Machine Learning Engineer,2023,FT,US,SE,188800
Analytics Engineer,2023,FT,US,SE,289800
Analytics Engineer,2023,FT,US,SE,214200
Data Engineer,2023,FT,US,SE,185900
Data Engineer,2023,FT,US,SE,129300
Data Engineer,2023,FT,US,SE,252000
Data Engineer,2023,FT,US,SE,129000
Data Engineer,2023,FT,US,SE,161800
Data Engineer,2023,FT,US,SE,141600
Machine Learning Engineer,2023,FT,US,SE,342300
Machine Learning Engineer,2023,FT,US,SE,176100
Data Scientist,2023,FT,US,SE,138784
Data Scientist,2023,FT,US,SE,83270
Data Analyst,2023,FT,US,SE,204500
Data Analyst,2023,FT,US,SE,138900
Machine Learning Engineer,2023,FT,US,SE,318300
Machine Learning Engineer,2023,FT,US,SE,212200
Data Engineer,2023,FT,US,SE,95000
Data Engineer,2023,FT,US,SE,75000
Data Scientist,2023,FT,US,SE,195000
Data Scientist,2023,FT,US,SE,160000
Analytics Engineer,2023,FT,US,SE,230000
Analytics Engineer,2023,FT,US,SE,143200
Data Engineer,2023,FT,US,SE,145000
Data Engineer,2023,FT,US,SE,115000
Data Analyst,2023,FT,US,SE,168400
Data Analyst,2023,FT,US,SE,105200
Applied Scientist,2023,FT,US,SE,309400
Applied Scientist,2023,FT,US,SE,159100
Machine Learning Engineer,2023,FT,US,SE,190000
Machine Learning Engineer,2023,FT,US,SE,150000
Analytics Engineer,2023,FT,US,SE,150000
Analytics Engineer,2023,FT,US,SE,120000
Data Engineer,2023,FT,US,SE,145000
Data Engineer,2023,FT,US,SE,120000
Applied Scientist,2023,FT,US,SE,222200
